Function,PSO,WE512PSO,SHMPSO,WE512SHMPSO
Ackley,0,0,0,0
Levi_N13,1.35E-31,1.35E-31,0.000178666,0.001133898
Eggholder,101.0394849,65.06179961,0.228332792,0.002102348
Holder_table,-2.57E-06,-2.57E-06,0.003169963,0.05527648
Rastrigin,0,0.994959057,0.00126586,0.010466252
Schwefel,2.55E-05,118.4383601,1.083655403,6.479091812
