Function,PSO,WE512PSO,SHMPSO,WE512SHMPSO
Ackley,0,0,2.49E-13,0
Levi_N13,1.35E-31,1.35E-31,3.01E-07,1.19E-05
Eggholder,3.73E-05,138.4442389,0.55213952,0.135106877
Holder_table,1.187783366,-2.57E-06,0.017762704,0.005148387
Rastrigin,0,0,0.005043396,0.020852388
Schwefel,2.55E-05,118.4383601,0.697956592,20.55441703
